,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.40009661941159447,0.39784586577286624,0.33335852426932117,0.22205739846999245
Mean Squared Error Testing,0.3158359829465289,0.3102059534576243,0.6471778770388995,0.7650758613901678
Mean Absolute Error Testing,0.39440540266422064,0.3984263076532956,0.6375485593382149,0.7037414555324345
Correlation: Training labels and Ground Truth,0.6358363818656574,0.5418089122108982,0.8747649847635129,0.8002223915437977
Mean Squared Error Training,0.2076730175844938,0.24581787803677418,0.26864211251534037,0.4057004750758507
Mean Absolute Error Training,0.3273857558680574,0.3538191181601549,0.38342831002657907,0.494187894524174
Correlation: Rounded Test Labels and Ground Truth Labels,,,0.3649495607539068,0.33235289118363853
Correlation: Rounded Training Labels and Ground Truth Labels,0.5544059043592524,0.5041916289649852,0.8448456435212506,0.7780562743343404
Mean Absolute Error Loss Rounded Test labels,0.30636363636363634,0.3054545454545454,0.5645454545454545,0.6063636363636363
Mean Squared Error Loss Rounded Test labels,0.3609090909090909,0.36,0.6936363636363636,0.7572727272727274
Accuracy: Rounded Test and Ground Truth Labels,0.7209090909090909,0.7218181818181819,0.5,0.4690909090909091
Mean Absolute Error Loss Rounded Training labels,0.2438459920050494,0.24550459359001336,0.3079567683881064,0.41633574595722483
Mean Squared Error Loss Rounded Training labels,0.26442247001893543,0.2845956939476822,0.3325850938967136,0.4706523865414711
Accuracy: Rounded Training and Ground Truth Labels,0.7664422470018935,0.7740409565888211,0.7043573943661972,0.6108225743348983
